epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.800324889395735,0.9999993882543272,0.008494147527966338,0.06740841602565621,6.90964,0.184,0.8919999999809265,0,0,0,1.09e-05
1,6.6229913619687135,nan,nan,0.05600124473447542,6.7369725,0.6399999999809265,2.3959999999809267,0,0,0,2.08e-05
2,6.359630854962636,nan,nan,0.06756409240676631,6.59466125,0.935999999885559,3.585999998931885,0,0,0,3.07e-05
3,6.067924662078504,nan,nan,0.08462525469710311,6.4181275,1.5580000002288819,5.348000001525879,0,0,0,4.06e-05
4,5.758022472250471,nan,nan,0.07921995168222751,6.163515,2.5200000001525877,7.939999998474121,0,0,0,5.05e-05
5,5.434770299757508,nan,nan,0.07320860026777981,5.79790375,4.3320000004577635,12.672000007324218,0,0,0,6.0400000000000004e-05
6,5.0739242609361,nan,nan,0.06672880539654208,5.34915375,7.234000002136231,19.274000005493164,0,0,0,7.03e-05
7,4.689408072464758,nan,nan,nan,4.91522875,11.122000006103516,26.704000008544924,0,0,0,8.02e-05
8,4.319800683539167,0.9999999036129525,0.009498037636101386,0.06018558110473015,4.448075625,16.057999999389647,35.159999993896484,0,0,0,9.010000000000001e-05
9,3.978826926861831,nan,nan,0.058118967659515346,3.9400075,22.681999998168944,44.87000000854492,0,0,0,9.964516155915151e-05
10,3.6744289444886045,nan,nan,nan,3.454235625,29.839999998779298,54.248000007324215,0,0,0,9.95707641563493e-05
11,3.413409906992619,0.9999999051614346,0.012269728605281999,0.05012633367408094,3.012168125,36.972000008544924,62.304000021972655,0,0,0,9.948932851320614e-05
12,3.2038036528632317,nan,nan,nan,2.633798125,43.52000000854492,68.68400000488282,0,0,0,9.940086748935406e-05
13,3.032948931534704,nan,nan,nan,2.334804375,48.93800001831055,73.46800002197266,0,0,0,9.930539505381425e-05
14,2.8881140777723586,nan,nan,nan,2.1088153125,53.246000006103515,76.88800003173829,0,0,0,9.9202926282791e-05
15,2.7686613098704083,nan,nan,nan,1.9347765625,56.53800001708984,79.57800001708985,0,0,0,9.909347735729111e-05
16,2.6623152718364858,nan,nan,nan,1.79833875,59.15199998779297,81.54799998535157,0,0,0,9.897706556056872e-05
17,2.5717057405139427,nan,nan,nan,1.69208375,61.30000000488281,83.06800002929687,0,0,0,9.885370927539598e-05
