model,clean_acc,robust_acc
convnext_small_l2_4_init1.pth,0.7131,0.334375
convnext_small_l2_2_init1.pth,0.745,0.55546875
convnext_small_linf_1_init2.pth,0.78896,0.62421875
convnext_small_linf_1_init1.pth,0.78644,0.6640625
convnext_small_l2_1_init1.pth,0.63614,0.56484375
